Transporte	trip_duration	trip_duration_hrs	dist_meters	dist_km	wait_sec	wait_min	Vel_mts_seg	Vel_km_hr
Taxi Libre	944	0.262222222	2824	2.824	482	8.033333333	2.99	10.77
Taxi Libre	618	0.171666667	4867	4.867	98	1.633333333	7.88	28.35
Taxi Libre	1084	0.301111111	4259	4.259	133	2.216666667	3.93	14.14
Taxi de Sitio	540	0.15	1791	1.791	261	4.35	3.32	11.94
Taxi Libre	546	0.151666667	2167	2.167	221	3.683333333	3.97	14.29
Taxi Libre	896	0.248888889	7441	7.441	177	2.95	8.3	29.9
Taxi Libre	1169	0.324722222	5609	5.609	447	7.45	4.8	17.27
Taxi Libre	688	0.191111111	3485	3.485	81	1.35	5.07	18.24
Taxi Libre	1014	0.281666667	4558	4.558	282	4.7	4.5	16.18
Taxi Libre	869	0.241388889	5674	5.674	188	3.133333333	6.53	23.51
Taxi Libre	427	0.118611111	3395	3.395	82	1.366666667	7.95	28.62
Taxi Libre	1515	0.420833333	7246	7.246	519	8.65	4.78	17.22
Taxi Libre	669	0.185833333	3117	3.117	352	5.866666667	4.66	16.77
Taxi de Sitio	908	0.252222222	4797	4.797	156	2.6	5.28	19.02
Taxi Libre	666	0.185	2621	2.621	154	2.566666667	3.94	14.17
Taxi Libre	367	0.101944444	1751	1.751	82	1.366666667	4.77	17.18
Taxi Libre	898	0.249444444	4712	4.712	284	4.733333333	5.25	18.89
Taxi Libre	341	0.094722222	1565	1.565	31	0.516666667	4.59	16.52
Taxi Libre	532	0.147777778	4511	4.511	73	1.216666667	8.48	30.53
Taxi Libre	275	0.076388889	1509	1.509	64	1.066666667	5.49	19.75
Taxi Libre	386	0.107222222	1729	1.729	151	2.516666667	4.48	16.13
Taxi Libre	890	0.247222222	3664	3.664	278	4.633333333	4.12	14.82
Taxi de Sitio	1952	0.542222222	3269	3.269	266	4.433333333	1.67	6.03
Taxi Libre	765	0.2125	2595	2.595	321	5.35	3.39	12.21
Taxi Libre	810	0.225	4228	4.228	240	4	5.22	18.79
Taxi de Sitio	1271	0.353055556	6609	6.609	234	3.9	5.2	18.72
Taxi de Sitio	1271	0.353055556	6609	6.609	234	3.9	5.2	18.72
Taxi Libre	2159	0.599722222	7100	7.1	964	16.06666667	3.29	11.84
Taxi Libre	2316	0.643333333	8465	8.465	1060	17.66666667	3.66	13.16
Taxi Libre	791	0.219722222	5088	5.088	262	4.366666667	6.43	23.16
Taxi Libre	1297	0.360277778	7255	7.255	396	6.6	5.59	20.14
Taxi Libre	1777	0.493611111	1780	1.78	1551	25.85	1	3.61
Taxi de Sitio	715	0.198611111	5559	5.559	211	3.516666667	7.77	27.99
Taxi Libre	208	0.057777778	1263	1.263	30	0.5	6.07	21.86
Taxi de Sitio	345	0.095833333	1455	1.455	24	0.4	4.22	15.18
Taxi de Sitio	2431	0.675277778	7650	7.65	1140	19	3.15	11.33
Taxi Libre	338	0.093888889	1769	1.769	56	0.933333333	5.23	18.84
Taxi Libre	553	0.153611111	2227	2.227	153	2.55	4.03	14.5
Taxi Libre	572	0.158888889	2527	2.527	188	3.133333333	4.42	15.9
Taxi Libre	872	0.242222222	6741	6.741	190	3.166666667	7.73	27.83
Taxi Libre	436	0.121111111	1540	1.54	89	1.483333333	3.53	12.72
Taxi Libre	282	0.078333333	1009	1.009	44	0.733333333	3.58	12.88
Taxi Libre	1311	0.364166667	7160	7.16	0	0	5.46	19.66
Taxi Libre	1064	0.295555556	1115	1.115	778	12.96666667	1.05	3.77
Taxi Libre	404	0.112222222	1521	1.521	55	0.916666667	3.76	13.55
Taxi Libre	282	0.078333333	1484	1.484	100	1.666666667	5.26	18.94
Taxi Libre	2298	0.638333333	5320	5.32	1387	23.11666667	2.32	8.33
Taxi Libre	1087	0.301944444	7247	7.247	1084	18.06666667	6.67	24
Taxi Libre	1161	0.3225	8090	8.09	7	0.116666667	6.97	25.09
Taxi Libre	1833	0.509166667	7315	7.315	267	4.45	3.99	14.37
Taxi Libre	745	0.206944444	4974	4.974	224	3.733333333	6.68	24.04
Taxi Libre	1762	0.489444444	9028	9.028	758	12.63333333	5.12	18.45
Taxi Libre	1417	0.393611111	3765	3.765	730	12.16666667	2.66	9.57
Radio Taxi	1529	0.424722222	4944	4.944	613	10.21666667	3.23	11.64
Taxi Libre	1347	0.374166667	4587	4.587	580	9.666666667	3.41	12.26
Taxi Libre	568	0.157777778	3381	3.381	112	1.866666667	5.95	21.43
Radio Taxi	1104	0.306666667	2318	2.318	779	12.98333333	2.1	7.56
Taxi Libre	371	0.103055556	2396	2.396	64	1.066666667	6.46	23.25
Taxi Libre	969	0.269166667	954	0.954	963	16.05	0.98	3.54
UberX	2130	0.591666667	1079	1.079	1998	33.3	0.51	1.82
Taxi de Sitio	731	0.203055556	3783	3.783	10	0.166666667	5.18	18.63
Taxi Libre	482	0.133888889	3312	3.312	137	2.283333333	6.87	24.74
Taxi de Sitio	2655	0.7375	1388	1.388	2131	35.51666667	0.52	1.88
Taxi de Sitio	558	0.155	3594	3.594	205	3.416666667	6.44	23.19
Taxi de Sitio	1598	0.443888889	8831	8.831	765	12.75	5.53	19.89
Taxi Libre	632	0.175555556	3005	3.005	154	2.566666667	4.75	17.12
Taxi Libre	659	0.183055556	3059	3.059	181	3.016666667	4.64	16.71
Taxi Libre	875	0.243055556	3510	3.51	342	5.7	4.01	14.44
Radio Taxi	765	0.2125	5777	5.777	105	1.75	7.55	27.19
Taxi Libre	924	0.256666667	1707	1.707	922	15.36666667	1.85	6.65
Taxi Libre	1234	0.342777778	6675	6.675	267	4.45	5.41	19.47
Taxi Libre	574	0.159444444	5936	5.936	77	1.283333333	10.34	37.23
Taxi Libre	798	0.221666667	7460	7.46	179	2.983333333	9.35	33.65
Taxi Libre	225	0.0625	912	0.912	88	1.466666667	4.05	14.59
Taxi Libre	1342	0.372777778	3527	3.527	621	10.35	2.63	9.46
Taxi Libre	1484	0.412222222	5041	5.041	715	11.91666667	3.4	12.23
Taxi Libre	713	0.198055556	5655	5.655	97	1.616666667	7.93	28.55
Taxi Libre	1388	0.385555556	7207	7.207	507	8.45	5.19	18.69
Taxi de Sitio	1693	0.470277778	7732	7.732	477	7.95	4.57	16.44
Taxi Libre	626	0.173888889	5500	5.5	166	2.766666667	8.79	31.63
Taxi Libre	181	0.050277778	1172	1.172	1	0.016666667	6.48	23.31
Taxi Libre	1065	0.295833333	7248	7.248	367	6.116666667	6.81	24.5
Taxi Libre	966	0.268333333	1136	1.136	706	11.76666667	1.18	4.23
Taxi Libre	291	0.080833333	1563	1.563	80	1.333333333	5.37	19.34
Taxi Libre	64	0.017777778	2857	2.857	34	0.566666667	44.64	160.71
Taxi Libre	161	0.044722222	884	0.884	3613	60.21666667	5.49	19.77
Taxi Libre	98	0.027222222	618	0.618	3606	60.1	6.31	22.7
Taxi Libre	468	0.13	2178	2.178	41	0.683333333	4.65	16.75
Taxi Libre	1116	0.31	6091	6.091	255	4.25	5.46	19.65
Taxi de Sitio	952	0.264444444	4975	4.975	110	1.833333333	5.23	18.81
Taxi de Sitio	875	0.243055556	5159	5.159	89	1.483333333	5.9	21.23
Taxi Libre	539	0.149722222	3047	3.047	105	1.75	5.65	20.35
Taxi de Sitio	539	0.149722222	3091	3.091	26	0.433333333	5.73	20.64
Taxi Libre	1513	0.420277778	1251	1.251	1260	21	0.83	2.98
Taxi Libre	76	0.021111111	508	0.508	3643	60.71666667	6.68	24.06
Taxi Libre	1540	0.427777778	3450	3.45	313	5.216666667	2.24	8.06
Taxi Libre	336	0.093333333	1735	1.735	100	1.666666667	5.16	18.59
Taxi de Sitio	913	0.253611111	2879	2.879	517	8.616666667	3.15	11.35
Taxi de Sitio	458	0.127222222	1628	1.628	75	1.25	3.55	12.8
Taxi de Sitio	336	0.093333333	1381	1.381	171	2.85	4.11	14.8
Radio Taxi	814	0.226111111	1360	1.36	32	0.533333333	1.67	6.01
Taxi de Sitio	1705	0.473611111	6876	6.876	655	10.91666667	4.03	14.52
Taxi Libre	501	0.139166667	3187	3.187	144	2.4	6.36	22.9
Taxi de Sitio	85	0.023611111	4466	4.466	2963	49.38333333	52.54	189.15
Taxi de Sitio	653	0.181388889	1577	1.577	464	7.733333333	2.42	8.69
Radio Taxi	2615	0.726388889	5473	5.473	2697	44.95	2.09	7.53
Radio Taxi	427	0.118611111	1570	1.57	150	2.5	3.68	13.24
Taxi Libre	504	0.14	3662	3.662	58	0.966666667	7.27	26.16
Taxi Libre	273	0.075833333	569	0.569	39	0.65	2.08	7.5
Taxi de Sitio	511	0.141944444	976	0.976	362	6.033333333	1.91	6.88
Taxi de Sitio	1812	0.503333333	4772	4.772	0	0	2.63	9.48
Taxi de Sitio	503	0.139722222	2120	2.12	110	1.833333333	4.21	15.17
Taxi Libre	1454	0.403888889	3063	3.063	977	16.28333333	2.11	7.58
Taxi de Sitio	1334	0.370555556	7829	7.829	2	0.033333333	5.87	21.13
Taxi Libre	235	0.065277778	1541	1.541	92	1.533333333	6.56	23.61
Taxi Libre	317	0.088055556	1625	1.625	77	1.283333333	5.13	18.45
Taxi Libre	172	0.047777778	727	0.727	62	1.033333333	4.23	15.22
Taxi Libre	436	0.121111111	1543	1.543	269	4.483333333	3.54	12.74
Taxi de Sitio	741	0.205833333	3840	3.84	275	4.583333333	5.18	18.66
Taxi Libre	949	0.263611111	5626	5.626	318	5.3	5.93	21.34
Taxi Libre	275	0.076388889	1389	1.389	59	0.983333333	5.05	18.18
Taxi de Sitio	586	0.162777778	1445	1.445	52	0.866666667	2.47	8.88
Taxi Libre	1039	0.288611111	8195	8.195	245	4.083333333	7.89	28.39
Taxi Libre	1321	0.366944444	5461	5.461	411	6.85	4.13	14.88
Taxi Libre	402	0.111666667	2109	2.109	37	0.616666667	5.25	18.89
Taxi de Sitio	551	0.153055556	4072	4.072	178	2.966666667	7.39	26.6
Taxi de Sitio	308	0.085555556	2372	2.372	98	1.633333333	7.7	27.72
Radio Taxi	532	0.147777778	2343	2.343	103	1.716666667	4.4	15.85
Radio Taxi	781	0.216944444	4760	4.76	30	0.5	6.09	21.94
Taxi Libre	800	0.222222222	5218	5.218	334	5.566666667	6.52	23.48
Taxi de Sitio	698	0.193888889	2137	2.137	306	5.1	3.06	11.02
Taxi de Sitio	959	0.266388889	8978	8.978	244	4.066666667	9.36	33.7
Taxi de Sitio	490	0.136111111	1067	1.067	257	4.283333333	2.18	7.84
Taxi de Sitio	550	0.152777778	1790	1.79	205	3.416666667	3.25	11.72
Taxi Libre	473	0.131388889	2516	2.516	58	0.966666667	5.32	19.15
Taxi Libre	345	0.095833333	857	0.857	263	4.383333333	2.48	8.94
Taxi Libre	412	0.114444444	3244	3.244	123	2.05	7.87	28.35
Taxi Libre	757	0.210277778	4075	4.075	159	2.65	5.38	19.38
Taxi Libre	393	0.109166667	1152	1.152	88	1.466666667	2.93	10.55
Taxi Libre	763	0.211944444	3070	3.07	202	3.366666667	4.02	14.48
Taxi de Sitio	259	0.071944444	988	0.988	67	1.116666667	3.81	13.73
Taxi Libre	92	0.025555556	2653	2.653	7616	126.9333333	28.84	103.81
UberBlack	350	0.097222222	2788	2.788	20	0.333333333	7.97	28.68
Taxi Libre	2106	0.585	4317	4.317	1442	24.03333333	2.05	7.38
Taxi de Sitio	947	0.263055556	4685	4.685	166	2.766666667	4.95	17.81
Taxi de Sitio	990	0.275	4998	4.998	442	7.366666667	5.05	18.17
Taxi de Sitio	954	0.265	3991	3.991	389	6.483333333	4.18	15.06
Taxi de Sitio	523	0.145277778	2302	2.302	147	2.45	4.4	15.85
Taxi de Sitio	481	0.133611111	1546	1.546	291	4.85	3.21	11.57
Taxi de Sitio	432	0.12	2446	2.446	184	3.066666667	5.66	20.38
Radio Taxi	741	0.205833333	772	0.772	181	3.016666667	1.04	3.75
Taxi de Sitio	1179	0.3275	5956	5.956	415	6.916666667	5.05	18.19
Taxi de Sitio	221	0.061388889	621	0.621	119	1.983333333	2.81	10.12
Taxi de Sitio	591	0.164166667	2323	2.323	262	4.366666667	3.93	14.15
Taxi Libre	395	0.109722222	2607	2.607	41	0.683333333	6.6	23.76
Taxi Libre	1240	0.344444444	3522	3.522	436	7.266666667	2.84	10.23
Taxi Libre	1142	0.317222222	4119	4.119	468	7.8	3.61	12.98
Radio Taxi	1118	0.310555556	6286	6.286	218	3.633333333	5.62	20.24
Taxi Libre	1592	0.442222222	7327	7.327	406	6.766666667	4.6	16.57
Taxi Libre	350	0.097222222	1900	1.9	41	0.683333333	5.43	19.54
Taxi Libre	896	0.248888889	5539	5.539	179	2.983333333	6.18	22.25
Taxi Libre	685	0.190277778	2605	2.605	255	4.25	3.8	13.69
Taxi de Sitio	961	0.266944444	6693	6.693	346	5.766666667	6.96	25.07
Taxi de Sitio	1040	0.288888889	6288	6.288	294	4.9	6.05	21.77
Taxi de Sitio	586	0.162777778	1759	1.759	368	6.133333333	3	10.81
Taxi Libre	748	0.207777778	8807	8.807	110	1.833333333	11.77	42.39
Taxi Libre	517	0.143611111	3508	3.508	127	2.116666667	6.79	24.43
Taxi Libre	1507	0.418611111	4677	4.677	585	9.75	3.1	11.17
Taxi de Sitio	542	0.150555556	1616	1.616	117	1.95	2.98	10.73
Taxi de Sitio	1300	0.361111111	2614	2.614	944	15.73333333	2.01	7.24
Taxi Libre	1200	0.333333333	603	0.603	103	1.716666667	0.5	1.81
Taxi Libre	1476	0.41	5205	5.205	792	13.2	3.53	12.7
Taxi de Sitio	768	0.213333333	5706	5.706	72	1.2	7.43	26.75
Taxi de Sitio	797	0.221388889	1952	1.952	446	7.433333333	2.45	8.82
Taxi de Sitio	422	0.117222222	897	0.897	253	4.216666667	2.13	7.65
Taxi Libre	507	0.140833333	2278	2.278	109	1.816666667	4.49	16.18
Taxi de Sitio	788	0.218888889	3626	3.626	1571	26.18333333	4.6	16.57
Taxi Libre	2417	0.671388889	8145	8.145	527	8.783333333	3.37	12.13
Taxi Libre	1632	0.453333333	6595	6.595	555	9.25	4.04	14.55
Taxi Libre	721	0.200277778	3800	3.8	84	1.4	5.27	18.97
Taxi de Sitio	619	0.171944444	1170	1.17	117	1.95	1.89	6.8
Taxi de Sitio	624	0.173333333	5180	5.18	79	1.316666667	8.3	29.88
Taxi de Sitio	624	0.173333333	5180	5.18	79	1.316666667	8.3	29.88
Taxi de Sitio	659	0.183055556	1820	1.82	48	0.8	2.76	9.94
Taxi de Sitio	226	0.062777778	968	0.968	86	1.433333333	4.28	15.42
Radio Taxi	1094	0.303888889	4222	4.222	19	0.316666667	3.86	13.89
Taxi Libre	1027	0.285277778	1699	1.699	163	2.716666667	1.65	5.96
Radio Taxi	1189	0.330277778	6222	6.222	1806	30.1	5.23	18.84
Taxi de Sitio	607	0.168611111	1833	1.833	213	3.55	3.02	10.87
Taxi de Sitio	887	0.246388889	1773	1.773	565	9.416666667	2	7.2
Taxi de Sitio	207	0.0575	828	0.828	54	0.9	4	14.4
Radio Taxi	421	0.116944444	3774	3.774	49	0.816666667	8.96	32.27
Taxi de Sitio	601	0.166944444	3162	3.162	200	3.333333333	5.26	18.94
Taxi de Sitio	1553	0.431388889	3490	3.49	867	14.45	2.25	8.09
Radio Taxi	1124	0.312222222	4334	4.334	632	10.53333333	3.86	13.88
Radio Taxi	248	0.068888889	825	0.825	134	2.233333333	3.33	11.98
Radio Taxi	1297	0.360277778	7282	7.282	263	4.383333333	5.61	20.21
Taxi Libre	1465	0.406944444	2708	2.708	790	13.16666667	1.85	6.65
Radio Taxi	171	0.0475	729	0.729	202	3.366666667	4.26	15.35
Radio Taxi	663	0.184166667	607	0.607	654	10.9	0.92	3.3
Taxi de Sitio	653	0.181388889	3000	3	97	1.616666667	4.59	16.54
Radio Taxi	970	0.269444444	744	0.744	917	15.28333333	0.77	2.76
Radio Taxi	593	0.164722222	710	0.71	599	9.983333333	1.2	4.31
Radio Taxi	506	0.140555556	2882	2.882	324	5.4	5.7	20.5
Taxi Libre	883	0.245277778	4252	4.252	364	6.066666667	4.82	17.34
Radio Taxi	1187	0.329722222	4563	4.563	708	11.8	3.84	13.84
Taxi Libre	669	0.185833333	4128	4.128	181	3.016666667	6.17	22.21
Radio Taxi	1432	0.397777778	5114	5.114	978	16.3	3.57	12.86
Radio Taxi	203	0.056388889	578	0.578	55	0.916666667	2.85	10.25
Radio Taxi	723	0.200833333	1452	1.452	547	9.116666667	2.01	7.23
Radio Taxi	699	0.194166667	2129	2.129	3364	56.06666667	3.05	10.96
Taxi Libre	2234	0.620555556	9130	9.13	1304	21.73333333	4.09	14.71
Radio Taxi	791	0.219722222	3367	3.367	675	11.25	4.26	15.32
Radio Taxi	636	0.176666667	4223	4.223	125	2.083333333	6.64	23.9
Radio Taxi	2317	0.643611111	3847	3.847	228	3.8	1.66	5.98
Taxi de Sitio	447	0.124166667	2017	2.017	188	3.133333333	4.51	16.24
Taxi Libre	950	0.263888889	811	0.811	940	15.66666667	0.85	3.07
Taxi de Sitio	1068	0.296666667	2349	2.349	854	14.23333333	2.2	7.92
Taxi Libre	783	0.2175	3427	3.427	282	4.7	4.38	15.76
Taxi de Sitio	390	0.108333333	1943	1.943	101	1.683333333	4.98	17.94
Taxi de Sitio	1240	0.344444444	4730	4.73	705	11.75	3.81	13.73
Taxi Libre	415	0.115277778	1811	1.811	169	2.816666667	4.36	15.71
Taxi Libre	1432	0.397777778	6607	6.607	287	4.783333333	4.61	16.61
Radio Taxi	619	0.171944444	3660	3.66	129	2.15	5.91	21.29
Taxi de Sitio	901	0.250277778	1611	1.611	631	10.51666667	1.79	6.44
Taxi Libre	967	0.268611111	5998	5.998	299	4.983333333	6.2	22.33
Taxi Libre	1052	0.292222222	6315	6.315	273	4.55	6	21.61
Taxi Libre	517	0.143611111	6016	6.016	50	0.833333333	11.64	41.89
Taxi de Sitio	537	0.149166667	2591	2.591	107	1.783333333	4.82	17.37
