Transporte	trip_duration	trip_duration_hrs	dist_meters	dist_km	wait_sec	wait_min	Vel_mts_seg	Vel_km_hr
Taxi Libre	839	0.233055556	5795	5.795	119	1.983333333	6.91	24.87
Taxi Libre	2200	0.611111111	8695	8.695	866	14.43333333	3.95	14.23
Taxi Libre	1019	0.283055556	5223	5.223	265	4.416666667	5.13	18.45
Taxi Libre	1124	0.312222222	4247	4.247	478	7.966666667	3.78	13.6
Taxi Libre	421	0.116944444	2444	2.444	31	0.516666667	5.81	20.9
Taxi Libre	955	0.265277778	802	0.802	485	8.083333333	0.84	3.02
Taxi Libre	1370	0.380555556	7537	7.537	235	3.916666667	5.5	19.81
Taxi de Sitio	1130	0.313888889	9036	9.036	309	5.15	8	28.79
Taxi Libre	764	0.212222222	7668	7.668	55	0.916666667	10.04	36.13
Taxi Libre	724	0.201111111	1436	1.436	493	8.216666667	1.98	7.14
Taxi Libre	1186	0.329444444	5708	5.708	197	3.283333333	4.81	17.33
Taxi Libre	283	0.078611111	1013	1.013	110	1.833333333	3.58	12.89
Taxi Libre	273	0.075833333	1137	1.137	86	1.433333333	4.16	14.99
UberX	223	0.061944444	2988	2.988	35	0.583333333	13.4	48.24
Taxi de Sitio	424	0.117777778	668	0.668	385	6.416666667	1.58	5.67
Taxi de Sitio	1718	0.477222222	7168	7.168	899	14.98333333	4.17	15.02
Taxi de Sitio	692	0.192222222	3360	3.36	436	7.266666667	4.86	17.48
Radio Taxi	883	0.245277778	7009	7.009	307	5.116666667	7.94	28.58
Taxi Libre	601	0.166944444	3140	3.14	184	3.066666667	5.22	18.81
Taxi Libre	1426	0.396111111	1665	1.665	1243	20.71666667	1.17	4.2
Taxi Libre	1828	0.507777778	2889	2.889	90	1.5	1.58	5.69
Taxi Libre	158	0.043888889	855	0.855	156	2.6	5.41	19.48
Taxi Libre	940	0.261111111	2493	2.493	66	1.1	2.65	9.55
Taxi Libre	316	0.087777778	1165	1.165	127	2.116666667	3.69	13.27
Taxi Libre	93	0.025833333	595	0.595	12	0.2	6.4	23.03
Taxi Libre	1085	0.301388889	4614	4.614	447	7.45	4.25	15.31
Radio Taxi	1159	0.321944444	5835	5.835	20	0.333333333	5.03	18.12
Taxi Libre	715	0.198611111	3345	3.345	163	2.716666667	4.68	16.84
Taxi Libre	1243	0.345277778	5753	5.753	241	4.016666667	4.63	16.66
Taxi Libre	1807	0.501944444	5230	5.23	905	15.08333333	2.89	10.42
Taxi Libre	1173	0.325833333	5382	5.382	378	6.3	4.59	16.52
Taxi Libre	747	0.2075	2588	2.588	324	5.4	3.46	12.47
Taxi Libre	1238	0.343888889	5201	5.201	374	6.233333333	4.2	15.12
Taxi Libre	616	0.171111111	3184	3.184	91	1.516666667	5.17	18.61
Taxi Libre	1097	0.304722222	2622	2.622	625	10.41666667	2.39	8.6
Radio Taxi	717	0.199166667	6615	6.615	185	3.083333333	9.23	33.21
Radio Taxi	493	0.136944444	2730	2.73	420	7	5.54	19.94
Radio Taxi	2325	0.645833333	6245	6.245	1183	19.71666667	2.69	9.67
Taxi Libre	1350	0.375	6556	6.556	404	6.733333333	4.86	17.48
Taxi Libre	367	0.101944444	1629	1.629	96	1.6	4.44	15.98
Taxi Libre	992	0.275555556	3755	3.755	398	6.633333333	3.79	13.63
Radio Taxi	2173	0.603611111	4803	4.803	678	11.3	2.21	7.96
Taxi Libre	1013	0.281388889	8524	8.524	146	2.433333333	8.41	30.29
Taxi de Sitio	844	0.234444444	4363	4.363	190	3.166666667	5.17	18.61
Taxi Libre	549	0.1525	1614	1.614	256	4.266666667	2.94	10.58
Taxi Libre	1807	0.501944444	3587	3.587	222	3.7	1.99	7.15
Taxi Libre	1268	0.352222222	6575	6.575	349	5.816666667	5.19	18.67
Taxi Libre	1504	0.417777778	7908	7.908	512	8.533333333	5.26	18.93
Taxi Libre	871	0.241944444	4308	4.308	97	1.616666667	4.95	17.81
Taxi Libre	307	0.085277778	2633	2.633	44	0.733333333	8.58	30.88
Taxi Libre	1277	0.354722222	2532	2.532	49	0.816666667	1.98	7.14
Radio Taxi	991	0.275277778	3338	3.338	370	6.166666667	3.37	12.13
Taxi Libre	22	0.006111111	692	0.692	18	0.3	31.45	113.24
Taxi Libre	319	0.088611111	756	0.756	200	3.333333333	2.37	8.53
Taxi de Sitio	608	0.168888889	2248	2.248	335	5.583333333	3.7	13.31
Taxi Libre	1018	0.282777778	3499	3.499	418	6.966666667	3.44	12.37
Taxi Libre	894	0.248333333	4909	4.909	98	1.633333333	5.49	19.77
Taxi de Sitio	353	0.098055556	1153	1.153	151	2.516666667	3.27	11.76
Taxi de Sitio	353	0.098055556	1153	1.153	151	2.516666667	3.27	11.76
Taxi de Sitio	615	0.170833333	4057	4.057	110	1.833333333	6.6	23.75
Radio Taxi	587	0.163055556	1354	1.354	71	1.183333333	2.31	8.3
Radio Taxi	1913	0.531388889	7688	7.688	342	5.7	4.02	14.47
Taxi de Sitio	731	0.203055556	6459	6.459	102	1.7	8.84	31.81
Taxi de Sitio	1191	0.330833333	8639	8.639	377	6.283333333	7.25	26.11
Taxi Libre	854	0.237222222	4514	4.514	104	1.733333333	5.29	19.03
Taxi Libre	496	0.137777778	2762	2.762	22	0.366666667	5.57	20.05
Taxi Libre	447	0.124166667	3028	3.028	4	0.066666667	6.77	24.39
Taxi Libre	781	0.216944444	3205	3.205	135	2.25	4.1	14.77
Taxi Libre	190	0.052777778	1667	1.667	15	0.25	8.77	31.59
UberX	40	0.011111111	692	0.692	12	0.2	17.3	62.28
Taxi Libre	710	0.197222222	3264	3.264	211	3.516666667	4.6	16.55
Taxi Libre	1544	0.428888889	4143	4.143	759	12.65	2.68	9.66
Taxi Libre	1535	0.426388889	7508	7.508	583	9.716666667	4.89	17.61
Radio Taxi	282	0.078333333	3328	3.328	100	1.666666667	11.8	42.49
Radio Taxi	918	0.255	6696	6.696	98	1.633333333	7.29	26.26
Taxi Libre	914	0.253888889	4303	4.303	296	4.933333333	4.71	16.95
Taxi Libre	685	0.190277778	3942	3.942	105	1.75	5.75	20.72
Taxi Libre	1084	0.301111111	7240	7.24	288	4.8	6.68	24.04
Taxi Libre	1084	0.301111111	7240	7.24	288	4.8	6.68	24.04
Taxi de Sitio	517	0.143611111	2154	2.154	133	2.216666667	4.17	15
Taxi de Sitio	1075	0.298611111	5225	5.225	413	6.883333333	4.86	17.5
Taxi de Sitio	952	0.264444444	2956	2.956	436	7.266666667	3.11	11.18
Taxi de Sitio	1308	0.363333333	7451	7.451	228	3.8	5.7	20.51
Taxi Libre	1365	0.379166667	5605	5.605	731	12.18333333	4.11	14.78
Taxi Libre	1335	0.370833333	5716	5.716	509	8.483333333	4.28	15.41
Taxi Libre	942	0.261666667	4131	4.131	300	5	4.39	15.79
Taxi Libre	940	0.261111111	4617	4.617	173	2.883333333	4.91	17.68
Taxi Libre	1507	0.418611111	6347	6.347	532	8.866666667	4.21	15.16
Taxi de Sitio	257	0.071388889	1395	1.395	86	1.433333333	5.43	19.54
Taxi Libre	604	0.167777778	2318	2.318	201	3.35	3.84	13.82
Taxi de Sitio	1465	0.406944444	3582	3.582	246	4.1	2.45	8.8
Taxi de Sitio	293	0.081388889	1277	1.277	159	2.65	4.36	15.69
Taxi Libre	808	0.224444444	3653	3.653	251	4.183333333	4.52	16.28
Taxi de Sitio	1059	0.294166667	6109	6.109	443	7.383333333	5.77	20.77
Taxi Libre	1749	0.485833333	5814	5.814	881	14.68333333	3.32	11.97
Taxi de Sitio	431	0.119722222	1219	1.219	368	6.133333333	2.83	10.18
Taxi de Sitio	431	0.119722222	1219	1.219	368	6.133333333	2.83	10.18
Taxi de Sitio	1062	0.295	1716	1.716	791	13.18333333	1.62	5.82
Taxi Libre	1179	0.3275	5084	5.084	326	5.433333333	4.31	15.52
Taxi de Sitio	1278	0.355	3591	3.591	716	11.93333333	2.81	10.12
Taxi de Sitio	605	0.168055556	1730	1.73	286	4.766666667	2.86	10.29
Taxi Libre	747	0.2075	3453	3.453	291	4.85	4.62	16.64
Taxi de Sitio	999	0.2775	7347	7.347	226	3.766666667	7.35	26.48
Taxi Libre	1328	0.368888889	5853	5.853	408	6.8	4.41	15.87
Taxi Libre	1344	0.373333333	6373	6.373	391	6.516666667	4.74	17.07
Taxi de Sitio	369	0.1025	1624	1.624	126	2.1	4.4	15.84
Taxi de Sitio	356	0.098888889	1678	1.678	65	1.083333333	4.71	16.97
Taxi de Sitio	2385	0.6625	7147	7.147	1097	18.28333333	3	10.79
Taxi Libre	743	0.206388889	4041	4.041	179	2.983333333	5.44	19.58
Taxi Libre	611	0.169722222	2392	2.392	201	3.35	3.91	14.09
Taxi Libre	701	0.194722222	5148	5.148	51	0.85	7.34	26.44
Taxi de Sitio	1148	0.318888889	2744	2.744	546	9.1	2.39	8.6
Taxi Libre	871	0.241944444	4223	4.223	289	4.816666667	4.85	17.45
Taxi de Sitio	1025	0.284722222	3097	3.097	57	0.95	3.02	10.88
Taxi de Sitio	1411	0.391944444	3109	3.109	1081	18.01666667	2.2	7.93
Taxi de Sitio	1411	0.391944444	3109	3.109	1081	18.01666667	2.2	7.93
Taxi Libre	358	0.099444444	1492	1.492	106	1.766666667	4.17	15
Taxi Libre	770	0.213888889	4393	4.393	107	1.783333333	5.71	20.54
Taxi Libre	1340	0.372222222	1126	1.126	96	1.6	0.84	3.03
Taxi Libre	1336	0.371111111	8727	8.727	204	3.4	6.53	23.52
Taxi Libre	878	0.243888889	4635	4.635	310	5.166666667	5.28	19
Taxi de Sitio	835	0.231944444	6093	6.093	207	3.45	7.3	26.27
Taxi Libre	359	0.099722222	2901	2.901	139	2.316666667	8.08	29.09
Taxi Libre	2362	0.656111111	7287	7.287	775	12.91666667	3.09	11.11
Taxi Libre	888	0.246666667	5204	5.204	235	3.916666667	5.86	21.1
Taxi Libre	843	0.234166667	6581	6.581	106	1.766666667	7.81	28.1
Taxi Libre	1135	0.315277778	3820	3.82	537	8.95	3.37	12.12
Taxi Libre	2503	0.695277778	4207	4.207	1810	30.16666667	1.68	6.05
Radio Taxi	1456	0.404444444	6694	6.694	23	0.383333333	4.6	16.55
Taxi Libre	829	0.230277778	4539	4.539	282	4.7	5.48	19.71
Taxi Libre	1168	0.324444444	6434	6.434	221	3.683333333	5.51	19.83
Radio Taxi	528	0.146666667	3020	3.02	105	1.75	5.72	20.59
Taxi Libre	1430	0.397222222	5128	5.128	464	7.733333333	3.59	12.91
Taxi Libre	706	0.196111111	3427	3.427	107	1.783333333	4.85	17.47
Taxi Libre	566	0.157222222	2794	2.794	86	1.433333333	4.94	17.77
Taxi de Sitio	467	0.129722222	3255	3.255	123	2.05	6.97	25.09
Taxi Libre	469	0.130277778	2201	2.201	24	0.4	4.69	16.89
Taxi Libre	629	0.174722222	2968	2.968	132	2.2	4.72	16.99
Taxi Libre	938	0.260555556	1666	1.666	44	0.733333333	1.78	6.39
Taxi Libre	1350	0.375	6329	6.329	237	3.95	4.69	16.88
Taxi Libre	1773	0.4925	7795	7.795	617	10.28333333	4.4	15.83
Taxi Libre	1911	0.530833333	6230	6.23	833	13.88333333	3.26	11.74
Taxi Libre	264	0.073333333	2284	2.284	8	0.133333333	8.65	31.15
Taxi de Sitio	2334	0.648333333	6615	6.615	1388	23.13333333	2.83	10.2
Taxi de Sitio	2334	0.648333333	6615	6.615	1388	23.13333333	2.83	10.2
Taxi Libre	888	0.246666667	4209	4.209	117	1.95	4.74	17.06
Taxi Libre	770	0.213888889	3354	3.354	169	2.816666667	4.36	15.68
Taxi Libre	1659	0.460833333	4223	4.223	1312	21.86666667	2.55	9.16
Taxi Libre	1552	0.431111111	7904	7.904	225	3.75	5.09	18.33
Taxi Libre	710	0.197222222	3447	3.447	344	5.733333333	4.85	17.48
Taxi Libre	691	0.191944444	4988	4.988	102	1.7	7.22	25.99
Taxi de Sitio	630	0.175	1372	1.372	476	7.933333333	2.18	7.84
Taxi de Sitio	630	0.175	1372	1.372	476	7.933333333	2.18	7.84
Taxi Libre	2274	0.631666667	4395	4.395	373	6.216666667	1.93	6.96
Taxi Libre	826	0.229444444	5061	5.061	137	2.283333333	6.13	22.06
Taxi Libre	591	0.164166667	3126	3.126	196	3.266666667	5.29	19.04
Taxi Libre	738	0.205	4108	4.108	138	2.3	5.57	20.04
Taxi Libre	1298	0.360555556	4650	4.65	563	9.383333333	3.58	12.9
Taxi Libre	849	0.235833333	3430	3.43	301	5.016666667	4.04	14.54
Taxi Libre	910	0.252777778	3475	3.475	421	7.016666667	3.82	13.75
Taxi Libre	1318	0.366111111	4902	4.902	490	8.166666667	3.72	13.39
Taxi Libre	76	0.021111111	538	0.538	12	0.2	7.08	25.48
Taxi de Sitio	584	0.162222222	4956	4.956	84	1.4	8.49	30.55
Taxi Libre	506	0.140555556	2189	2.189	59	0.983333333	4.33	15.57
Taxi Libre	295	0.081944444	1305	1.305	32	0.533333333	4.42	15.93
Taxi Libre	1322	0.367222222	7126	7.126	315	5.25	5.39	19.41
Taxi de Sitio	559	0.155277778	5761	5.761	160	2.666666667	10.31	37.1
Taxi de Sitio	1043	0.289722222	6591	6.591	214	3.566666667	6.32	22.75
Taxi Libre	485	0.134722222	2367	2.367	85	1.416666667	4.88	17.57
Taxi Libre	1373	0.381388889	2145	2.145	71	1.183333333	1.56	5.62
Taxi Libre	181	0.050277778	1449	1.449	23	0.383333333	8.01	28.82
Taxi Libre	1350	0.375	5615	5.615	232	3.866666667	4.16	14.97
Radio Taxi	1509	0.419166667	4939	4.939	798	13.3	3.27	11.78
Taxi Libre	681	0.189166667	3373	3.373	166	2.766666667	4.95	17.83
Taxi Libre	1037	0.288055556	6106	6.106	175	2.916666667	5.89	21.2
Taxi Libre	397	0.110277778	2177	2.177	101	1.683333333	5.48	19.74
Taxi Libre	657	0.1825	3596	3.596	167	2.783333333	5.47	19.7
Taxi Libre	426	0.118333333	2587	2.587	187	3.116666667	6.07	21.86
Taxi Libre	905	0.251388889	3421	3.421	367	6.116666667	3.78	13.61
Taxi Libre	1415	0.393055556	3883	3.883	787	13.11666667	2.74	9.88
Taxi Libre	1861	0.516944444	6475	6.475	40	0.666666667	3.48	12.53
Taxi de Sitio	1405	0.390277778	6967	6.967	323	5.383333333	4.96	17.85
Taxi Libre	605	0.168055556	3192	3.192	181	3.016666667	5.28	18.99
Taxi de Sitio	1060	0.294444444	8766	8.766	198	3.3	8.27	29.77
Taxi Libre	351	0.0975	2801	2.801	68	1.133333333	7.98	28.73
Radio Taxi	92	0.025555556	667	0.667	102	1.7	7.25	26.1
UberX	147	0.040833333	1164	1.164	106	1.766666667	7.92	28.51
Radio Taxi	749	0.208055556	3672	3.672	705	11.75	4.9	17.65
Taxi de Sitio	1436	0.398888889	6951	6.951	613	10.21666667	4.84	17.43
Taxi Libre	1397	0.388055556	5314	5.314	757	12.61666667	3.8	13.69
Taxi Libre	889	0.246944444	5614	5.614	265	4.416666667	6.31	22.73
Taxi de Sitio	1112	0.308888889	5598	5.598	1370	22.83333333	5.03	18.12
Taxi Libre	668	0.185555556	2141	2.141	329	5.483333333	3.21	11.54
Taxi Libre	553	0.153611111	2706	2.706	147	2.45	4.89	17.62
Taxi Libre	620	0.172222222	2749	2.749	303	5.05	4.43	15.96
Taxi Libre	290	0.080555556	1604	1.604	222	3.7	5.53	19.91
Taxi Libre	823	0.228611111	1918	1.918	178	2.966666667	2.33	8.39
Taxi Libre	289	0.080277778	1320	1.32	43	0.716666667	4.57	16.44
Taxi Libre	351	0.0975	2332	2.332	21	0.35	6.64	23.92
Radio Taxi	1207	0.335277778	6633	6.633	856	14.26666667	5.5	19.78
Taxi Libre	186	0.051666667	718	0.718	65	1.083333333	3.86	13.9
Taxi Libre	716	0.198888889	2156	2.156	425	7.083333333	3.01	10.84
Taxi Libre	817	0.226944444	3546	3.546	205	3.416666667	4.34	15.62
Radio Taxi	746	0.207222222	7107	7.107	458	7.633333333	9.53	34.3
Taxi Libre	1842	0.511666667	4524	4.524	160	2.666666667	2.46	8.84
Taxi de Sitio	1287	0.3575	7484	7.484	498	8.3	5.82	20.93
Taxi Libre	949	0.263611111	4816	4.816	191	3.183333333	5.07	18.27
Taxi de Sitio	865	0.240277778	2444	2.444	507	8.45	2.83	10.17
Taxi Libre	1815	0.504166667	5264	5.264	765	12.75	2.9	10.44
Radio Taxi	1470	0.408333333	6513	6.513	780	13	4.43	15.95
Taxi Libre	571	0.158611111	2595	2.595	144	2.4	4.54	16.36
Taxi Libre	1169	0.324722222	4242	4.242	524	8.733333333	3.63	13.06
Taxi Libre	957	0.265833333	4836	4.836	15	0.25	5.05	18.19
Taxi Libre	197	0.054722222	1533	1.533	105	1.75	7.78	28.01
Taxi Libre	625	0.173611111	3378	3.378	307	5.116666667	5.4	19.46
Taxi Libre	758	0.210555556	3612	3.612	65	1.083333333	4.77	17.15
Radio Taxi	1558	0.432777778	6821	6.821	744	12.4	4.38	15.76
Taxi Libre	281	0.078055556	2253	2.253	77	1.283333333	8.02	28.86
Taxi Libre	798	0.221666667	5211	5.211	88	1.466666667	6.53	23.51
Taxi de Sitio	830	0.230555556	7596	7.596	170	2.833333333	9.15	32.95
Taxi Libre	155	0.043055556	875	0.875	39	0.65	5.65	20.32
Taxi Libre	209	0.058055556	1079	1.079	24	0.4	5.16	18.59
Taxi Libre	1541	0.428055556	3580	3.58	925	15.41666667	2.32	8.36
Taxi Libre	1460	0.405555556	5217	5.217	650	10.83333333	3.57	12.86
Taxi Libre	1218	0.338333333	4318	4.318	375	6.25	3.55	12.76
Taxi Libre	1386	0.385	3855	3.855	170	2.833333333	2.78	10.01
Taxi Libre	291	0.080833333	1096	1.096	80	1.333333333	3.77	13.56
Taxi Libre	1256	0.348888889	5399	5.399	362	6.033333333	4.3	15.47
Taxi Libre	833	0.231388889	3337	3.337	265	4.416666667	4.01	14.42
Taxi Libre	1156	0.321111111	5060	5.06	357	5.95	4.38	15.76
Radio Taxi	1145	0.318055556	5835	5.835	385	6.416666667	5.1	18.35
Taxi Libre	451	0.125277778	1640	1.64	26	0.433333333	3.64	13.09
Taxi Libre	641	0.178055556	2690	2.69	257	4.283333333	4.2	15.11
Taxi Libre	456	0.126666667	2355	2.355	278	4.633333333	5.16	18.59
Taxi de Sitio	673	0.186944444	5705	5.705	90	1.5	8.48	30.52
Taxi de Sitio	485	0.134722222	3066	3.066	150	2.5	6.32	22.76
Taxi de Sitio	458	0.127222222	1735	1.735	161	2.683333333	3.79	13.64
Taxi de Sitio	458	0.127222222	1735	1.735	161	2.683333333	3.79	13.64
Taxi de Sitio	409	0.113611111	1313	1.313	73	1.216666667	3.21	11.56
Radio Taxi	1381	0.383611111	4428	4.428	1709	28.48333333	3.21	11.54
Taxi de Sitio	213	0.059166667	1063	1.063	49	0.816666667	4.99	17.97
Taxi Libre	852	0.236666667	3141	3.141	304	5.066666667	3.69	13.27
Taxi de Sitio	226	0.062777778	796	0.796	29	0.483333333	3.52	12.68
Taxi de Sitio	1437	0.399166667	4061	4.061	817	13.61666667	2.83	10.17
Taxi Libre	1107	0.3075	3373	3.373	565	9.416666667	3.05	10.97
Taxi Libre	1163	0.323055556	4713	4.713	365	6.083333333	4.05	14.59
Radio Taxi	303	0.084166667	2467	2.467	101	1.683333333	8.14	29.31
Taxi Libre	1383	0.384166667	5292	5.292	591	9.85	3.83	13.78
Taxi de Sitio	1506	0.418333333	4031	4.031	124	2.066666667	2.68	9.64
Taxi de Sitio	522	0.145	2336	2.336	206	3.433333333	4.48	16.11
Radio Taxi	578	0.160555556	6039	6.039	241	4.016666667	10.45	37.61
Taxi Libre	998	0.277222222	5171	5.171	428	7.133333333	5.18	18.65
Taxi Libre	1895	0.526388889	7397	7.397	838	13.96666667	3.9	14.05
Taxi de Sitio	536	0.148888889	3178	3.178	43	0.716666667	5.93	21.34
Taxi de Sitio	536	0.148888889	3178	3.178	43	0.716666667	5.93	21.34
Radio Taxi	714	0.198333333	3711	3.711	372	6.2	5.2	18.71
Radio Taxi	415	0.115277778	4023	4.023	288	4.8	9.69	34.9
Radio Taxi	398	0.110555556	4261	4.261	92	1.533333333	10.71	38.54
Radio Taxi	450	0.125	2078	2.078	166	2.766666667	4.62	16.62
Taxi Libre	510	0.141666667	4930	4.93	23	0.383333333	9.67	34.8
Taxi Libre	683	0.189722222	6447	6.447	43	0.716666667	9.44	33.98
Taxi Libre	808	0.224444444	3437	3.437	310	5.166666667	4.25	15.31
Taxi de Sitio	814	0.226111111	4080	4.08	76	1.266666667	5.01	18.04
Taxi Libre	1013	0.281388889	3168	3.168	445	7.416666667	3.13	11.26
Taxi Libre	578	0.160555556	1902	1.902	278	4.633333333	3.29	11.85
Taxi Libre	1013	0.281388889	4428	4.428	416	6.933333333	4.37	15.74
Taxi Libre	398	0.110555556	2908	2.908	71	1.183333333	7.31	26.3
Taxi de Sitio	561	0.155833333	3011	3.011	175	2.916666667	5.37	19.32
Taxi Libre	384	0.106666667	1963	1.963	90	1.5	5.11	18.4
Taxi Libre	2259	0.6275	6917	6.917	973	16.21666667	3.06	11.02
Taxi Libre	1781	0.494722222	3308	3.308	1416	23.6	1.86	6.69
Taxi Libre	1899	0.5275	639	0.639	1845	30.75	0.34	1.21
Taxi Libre	1575	0.4375	2564	2.564	1043	17.38333333	1.63	5.86
Taxi Libre	329	0.091388889	775	0.775	163	2.716666667	2.36	8.48
Taxi Libre	235	0.065277778	605	0.605	137	2.283333333	2.57	9.27
Taxi Libre	2293	0.636944444	8518	8.518	896	14.93333333	3.71	13.37
Taxi de Sitio	798	0.221666667	1949	1.949	78	1.3	2.44	8.79
Taxi de Sitio	680	0.188888889	8815	8.815	11	0.183333333	12.96	46.67
Taxi de Sitio	452	0.125555556	2596	2.596	250	4.166666667	5.74	20.68
Taxi Libre	2011	0.558611111	6616	6.616	877	14.61666667	3.29	11.84
Taxi Libre	1085	0.301388889	2572	2.572	572	9.533333333	2.37	8.53
Radio Taxi	833	0.231388889	3124	3.124	453	7.55	3.75	13.5
Taxi de Sitio	1433	0.398055556	4391	4.391	603	10.05	3.06	11.03
Taxi de Sitio	438	0.121666667	1741	1.741	81	1.35	3.97	14.31
Taxi Libre	1431	0.3975	7427	7.427	325	5.416666667	5.19	18.68
Taxi de Sitio	815	0.226388889	2769	2.769	495	8.25	3.4	12.23
Taxi Libre	219	0.060833333	942	0.942	73	1.216666667	4.3	15.48
Taxi Libre	1243	0.345277778	6081	6.081	420	7	4.89	17.61
Taxi Libre	671	0.186388889	3779	3.779	82	1.366666667	5.63	20.27
Taxi Libre	1228	0.341111111	4401	4.401	391	6.516666667	3.58	12.9
Taxi de Sitio	1590	0.441666667	7918	7.918	689	11.48333333	4.98	17.93
Taxi Libre	2305	0.640277778	1436	1.436	2167	36.11666667	0.62	2.24
Taxi Libre	417	0.115833333	1428	1.428	201	3.35	3.42	12.33
Taxi de Sitio	127	0.035277778	6323	6.323	36	0.6	49.79	179.23
Taxi Libre	284	0.078888889	1395	1.395	98	1.633333333	4.91	17.68
Taxi Libre	1815	0.504166667	8870	8.87	387	6.45	4.89	17.59
Taxi de Sitio	416	0.115555556	4150	4.15	74	1.233333333	9.98	35.91
Taxi de Sitio	960	0.266666667	6335	6.335	126	2.1	6.6	23.76
Taxi Libre	392	0.108888889	1778	1.778	65	1.083333333	4.54	16.33
Taxi Libre	52	0.014444444	512	0.512	75	1.25	9.85	35.45
UberX	1586	0.440555556	3784	3.784	1167	19.45	2.39	8.59
UberX	1196	0.332222222	4118	4.118	1195	19.91666667	3.44	12.4
Taxi Libre	713	0.198055556	3201	3.201	184	3.066666667	4.49	16.16
Taxi Libre	2427	0.674166667	4500	4.5	1585	26.41666667	1.85	6.67
Taxi Libre	1745	0.484722222	5712	5.712	961	16.01666667	3.27	11.78
Taxi Libre	297	0.0825	1872	1.872	18	0.3	6.3	22.69
Taxi de Sitio	102	0.028333333	522	0.522	40	0.666666667	5.12	18.42
Taxi de Sitio	1490	0.413888889	3878	3.878	283	4.716666667	2.6	9.37
Taxi de Sitio	247	0.068611111	1393	1.393	36	0.6	5.64	20.3
Taxi de Sitio	1457	0.404722222	5263	5.263	751	12.51666667	3.61	13
Taxi Libre	1239	0.344166667	5605	5.605	348	5.8	4.52	16.29
Taxi Libre	611	0.169722222	1287	1.287	380	6.333333333	2.11	7.58
Taxi Libre	565	0.156944444	3187	3.187	199	3.316666667	5.64	20.31
Taxi de Sitio	1460	0.405555556	5517	5.517	577	9.616666667	3.78	13.6
Taxi Libre	1374	0.381666667	3594	3.594	599	9.983333333	2.62	9.42
Taxi de Sitio	1161	0.3225	4348	4.348	425	7.083333333	3.75	13.48
Taxi de Sitio	1730	0.480555556	6968	6.968	261	4.35	4.03	14.5
Taxi Libre	1331	0.369722222	7452	7.452	4	0.066666667	5.6	20.16
Taxi Libre	908	0.252222222	4217	4.217	276	4.6	4.64	16.72
Taxi Libre	916	0.254444444	3927	3.927	305	5.083333333	4.29	15.43
Taxi Libre	884	0.245555556	3526	3.526	287	4.783333333	3.99	14.36
Radio Taxi	295	0.081944444	2501	2.501	76	1.266666667	8.48	30.52
Radio Taxi	1260	0.35	2963	2.963	1336	22.26666667	2.35	8.47
Radio Taxi	1235	0.343055556	3336	3.336	859	14.31666667	2.7	9.72
Taxi de Sitio	290	0.080555556	1414	1.414	90	1.5	4.88	17.55
Taxi de Sitio	819	0.2275	4021	4.021	280	4.666666667	4.91	17.67
Taxi Libre	1338	0.371666667	6194	6.194	287	4.783333333	4.63	16.67
Taxi de Sitio	963	0.2675	4734	4.734	327	5.45	4.92	17.7
Taxi de Sitio	717	0.199166667	1208	1.208	490	8.166666667	1.68	6.07
Taxi Libre	1193	0.331388889	5405	5.405	297	4.95	4.53	16.31
Taxi de Sitio	620	0.172222222	3143	3.143	229	3.816666667	5.07	18.25
Taxi de Sitio	650	0.180555556	3690	3.69	119	1.983333333	5.68	20.44
Taxi Libre	1033	0.286944444	5069	5.069	247	4.116666667	4.91	17.67
Taxi de Sitio	1217	0.338055556	4289	4.289	663	11.05	3.52	12.69
Taxi Libre	572	0.158888889	2333	2.333	218	3.633333333	4.08	14.68
Taxi Libre	2146	0.596111111	6788	6.788	247	4.116666667	3.16	11.39
Taxi Libre	457	0.126944444	2968	2.968	109	1.816666667	6.49	23.38
Taxi Libre	225	0.0625	1096	1.096	45	0.75	4.87	17.54
Taxi de Sitio	805	0.223611111	8510	8.51	62	1.033333333	10.57	38.06
Taxi de Sitio	783	0.2175	2105	2.105	110	1.833333333	2.69	9.68
Taxi de Sitio	769	0.213611111	7016	7.016	1593	26.55	9.12	32.84
Taxi de Sitio	1482	0.411666667	5825	5.825	672	11.2	3.93	14.15
Radio Taxi	343	0.095277778	1622	1.622	227	3.783333333	4.73	17.02
Radio Taxi	571	0.158611111	5330	5.33	453	7.55	9.33	33.6
Radio Taxi	1116	0.31	3935	3.935	1166	19.43333333	3.53	12.69
Taxi Libre	868	0.241111111	2281	2.281	318	5.3	2.63	9.46
Taxi Libre	572	0.158888889	5089	5.089	140	2.333333333	8.9	32.03
Radio Taxi	499	0.138611111	6975	6.975	131	2.183333333	13.98	50.32
Radio Taxi	1244	0.345555556	5140	5.14	1484	24.73333333	4.13	14.87
Radio Taxi	1287	0.3575	6516	6.516	935	15.58333333	5.06	18.23
Taxi de Sitio	1497	0.415833333	7093	7.093	570	9.5	4.74	17.06
Taxi Libre	766	0.212777778	3557	3.557	276	4.6	4.64	16.72
Taxi de Sitio	1405	0.390277778	7383	7.383	562	9.366666667	5.25	18.92
Taxi Libre	864	0.24	5017	5.017	109	1.816666667	5.81	20.9
Taxi Libre	198	0.055	930	0.93	32	0.533333333	4.7	16.91
Taxi de Sitio	368	0.102222222	1703	1.703	86	1.433333333	4.63	16.66
