"","id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","trip_duration_hrs","dist_meters","dist_km","wait_sec","wait_min"
"4791",8505,"México DF Taxi Libre","17/05/2017 01:37","17/05/2017 01:45",-99.1965635,19.46326775,-99.18804756,19.46381904,"N",466,0.13,2573,2.573,58,0.966666667
"4792",8506,"México DF Taxi Libre","17/05/2017 01:57","17/05/2017 02:05",-99.19642507,19.46182639,-99.18867458,19.47767572,"N",486,0.14,3176,3.176,81,1.35
"4793",8507,"México DF Taxi Libre","17/05/2017 01:55","17/05/2017 02:10",-99.11122761,19.25855194,-99.11433998,19.2315515,"N",927,0.26,4111,4.111,145,2.416666667
"4794",8508,"México DF Taxi Libre","17/05/2017 02:08","17/05/2017 02:14",-99.19061542,19.46200091,-99.19962797,19.45796883,"N",354,0.1,1890,1.89,46,0.766666667
"4795",8509,"México DF Taxi Libre","17/05/2017 03:23","17/05/2017 03:26",-99.30448454,19.38690638,-99.3043202,19.386998,"N",151,0.04,74,0.074,140,2.333333333
"4796",8511,"México DF Taxi Libre","17/05/2017 03:28","17/05/2017 03:43",-99.23123602,19.28846274,-99.23161194,19.28844156,"N",909,0.25,4045,4.045,112,1.866666667
"4797",8512,"México DF Taxi Libre","17/05/2017 03:33","17/05/2017 03:46",-99.1870777,19.4611843,-99.19564312,19.46417122,"N",782,0.22,1859,1.859,389,6.483333333
"4798",8514,"México DF Taxi Libre","17/05/2017 03:56","17/05/2017 04:09",-99.23122753,19.28855411,-99.22341176,19.29217832,"N",781,0.22,2331,2.331,306,5.1
"4799",8515,"México DF Taxi Libre","17/05/2017 04:01","17/05/2017 04:10",-99.19580195,19.46289563,-99.18622695,19.45674318,"N",500,0.14,2147,2.147,163,2.716666667
"4800",8518,"México DF Taxi Libre","17/05/2017 04:34","17/05/2017 04:45",-99.2312413,19.28846134,-99.2223561,19.27135602,"N",655,0.18,2699,2.699,63,1.05
"4801",8519,"México DF Taxi Libre","17/05/2017 05:03","17/05/2017 05:06",-99.23239276,19.28980312,-99.24017588,19.28922348,"N",209,0.06,870,0.87,43,0.716666667
"4802",8520,"México DF Taxi Libre","17/05/2017 05:20","17/05/2017 05:23",-99.23116302,19.28844728,-99.22748038,19.2909753,"N",221,0.06,693,0.693,76,1.266666667
"4803",8522,"México DF UberX","17/05/2017 05:33","17/05/2017 05:35",-99.1988613,19.4925695,-99.19878917,19.49255214,"N",180,0.05,173,0.173,147,2.45
"4804",8525,"México DF Taxi Libre","17/05/2017 07:18","17/05/2017 07:19",-99.20927098,19.29950081,-99.20604464,19.30429782,"N",95,0.03,691,0.691,34,0.566666667
"4805",8526,"México DF Taxi Libre","17/05/2017 07:12","17/05/2017 07:27",-99.19711597,19.46258261,-99.17178666,19.45142221,"N",911,0.25,5131,5.131,166,2.766666667
"4806",8528,"México DF UberX","17/05/2017 07:34","17/05/2017 07:37",-99.14820789,19.31126884,-99.15316906,19.31171546,"N",155,0.04,662,0.662,0,0
"4807",8529,"México DF Taxi Libre","17/05/2017 07:48","17/05/2017 08:02",-99.19657645,19.46236711,-99.20836123,19.5066239,"N",860,0.24,7103,7.103,166,2.766666667
"4808",8530,"México DF Taxi Libre","17/05/2017 08:07","17/05/2017 08:14",-99.1278429,19.26516888,-99.1142604,19.24606604,"N",429,0.12,2922,2.922,10,0.166666667
"4809",8532,"México DF Taxi Libre","17/05/2017 08:23","17/05/2017 08:31",-99.19705903,19.46198307,-99.18437743,19.45850555,"N",474,0.13,2817,2.817,93,1.55
"4810",8533,"México DF Taxi Libre","17/05/2017 08:49","17/05/2017 08:58",-99.19641024,19.46165752,-99.18968948,19.47942486,"N",540,0.15,3344,3.344,124,2.066666667
"4811",8534,"México DF Taxi Libre","17/05/2017 08:49","17/05/2017 09:03",-99.13305065,19.29602665,-99.15036519,19.31247798,"N",825,0.23,3806,3.806,293,4.883333333
"4812",8536,"México DF Taxi Libre","17/05/2017 09:06","17/05/2017 09:13",-99.19640244,19.46151137,-99.20127606,19.4553641,"N",412,0.11,1760,1.76,114,1.9
"4813",8539,"México DF Taxi de Sitio","18/05/2017 12:31","18/05/2017 12:42",-99.22517323,19.38535347,-99.20646766,19.37960264,"N",632,0.18,4717,4.717,52,0.866666667
"4814",8540,"México DF Taxi Libre","18/05/2017 07:19","18/05/2017 07:35",-99.19641283,19.46154792,-99.1776993,19.4545046,"N",941,0.26,5245,5.245,317,5.283333333
